Player,Pos.,Team,PassYds,PassTD,Int,PassAtt,Cmp
Jordan Love,QB,GNB,245,3,0,27,15
Desmond Ridder,QB,ATL,115,1,0,18,15
Brock Purdy,QB,SFO,220,2,0,29,19
Tua Tagovailoa,QB,MIA,466,3,1,45,28
Russell Wilson,QB,DEN,177,2,0,34,27
Jimmy Garoppolo,QB,LVR,200,2,1,26,20
Trevor Lawrence,QB,JAX,241,2,1,32,24
Kirk Cousins,QB,MIN,344,2,1,44,33
Justin Herbert,QB,LAC,229,1,0,33,23
Derek Carr,QB,NOR,305,1,1,33,23
Baker Mayfield,QB,TAM,173,2,0,34,21
Jared Goff,QB,DET,253,1,0,35,22
Mac Jones,QB,NWE,316,3,1,54,35
Matthew Stafford,QB,LAR,334,0,0,38,24
Jalen Hurts,QB,PHI,170,1,0,33,22
Geno Smith,QB,SEA,112,1,0,26,16
Zach Wilson,QB,NYJ,140,1,1,21,14
Lamar Jackson,QB,BAL,169,0,1,22,17
Tyrod Taylor,QB,NYG,6,0,0,2,2
Anthony Richardson,QB,IND,223,1,1,37,24
Joshua Dobbs,QB,ARI,132,0,0,30,21
Justin Fields,QB,CHI,216,1,1,37,24
C.J. Stroud,QB,HOU,242,0,0,44,28
Sam Howell,QB,WAS,202,1,1,31,19
Patrick Mahomes,QB,KAN,226,2,1,39,21
Dak Prescott,QB,DAL,143,0,0,24,13
Kenny Pickett,QB,PIT,232,1,2,46,31
Deshaun Watson,QB,CLE,154,1,1,29,16
Josh Allen,QB,BUF,236,1,3,41,29
Joe Burrow,QB,CIN,82,0,0,31,14
Bryce Young,QB,CAR,146,1,2,38,20
Jake Browning,QB,CIN,0,0,0,1,0
Gardner Minshew II,QB,IND,0,0,0,2,0
Aaron Rodgers,QB,NYJ,0,0,0,1,0
Cooper Rush,QB,DAL,0,0,0,1,0
Daniel Jones,QB,NYG,104,0,2,28,15
Ryan Tannehill,QB,TEN,198,0,3,34,16
